epoch,loss,test_acc,train_acc
1,64.49138534069061,22.875,22.4
2,64.21687650680542,23.925,23.56
3,63.69754147529602,28.575,28.52
4,62.78972387313843,33.15,33.28
5,60.939566135406494,29.275,29.28
6,60.76521611213684,38.425,39.32
7,58.20320963859558,39.2,39.48
8,57.69739055633545,39.3,39.6
9,56.33586132526398,42.9,42.36
10,54.154542565345764,41.675,43.96
11,52.2696071267128,46.375,47.92
12,50.79088914394379,48.025,49.92
13,49.1448575258255,50.35,53.88
14,48.47491842508316,50.9,54.12
15,45.872520446777344,48.225,53.08
16,45.33525550365448,48.675,52.6
17,44.5015287399292,51.55,57.2
18,42.312957406044006,47.925,52.4
19,44.141966819763184,50.95,58.6
20,41.04581892490387,53.85,61.32
21,39.72642922401428,53.9,62.8
22,38.60026675462723,54.8,65.4
23,38.664633333683014,52.45,63.28
24,40.74409830570221,54.425,65.76
25,36.98404544591904,55.6,66.68
26,36.310273349285126,55.05,64.88
27,35.224707186222076,54.55,65.32
28,35.24253335595131,55.65,66.8
29,33.673257529735565,54.025,67.8
30,34.91203153133392,53.65,66.92
31,32.86761412024498,56.0,71.04
32,32.14863705635071,56.925,71.68
33,33.11956173181534,55.75,71.56
34,33.00336912274361,56.025,73.4
35,30.114925980567932,56.275,74.48
36,29.839240312576294,56.875,74.52
37,28.396561443805695,56.8,74.96
38,28.025001525878906,57.1,75.4
39,28.959554076194763,55.125,74.24
40,27.539455205202103,55.875,75.24
41,25.809817999601364,57.9,78.04
42,25.564721524715424,57.325,76.44
43,24.927353143692017,57.35,78.04
44,25.212485641241074,56.875,77.12
45,24.721300825476646,57.55,78.04
46,23.788836985826492,56.3,75.84
47,25.029985308647156,57.225,80.68
48,23.362982600927353,57.4,79.56
49,22.850627064704895,56.85,79.96
50,22.627050757408142,57.375,80.8
51,22.578399688005447,57.325,82.36
52,21.65193499624729,57.225,80.88
53,21.379983603954315,57.45,80.48
54,21.31509193778038,57.95,81.56
55,20.299871623516083,57.65,82.28
56,20.860757023096085,57.375,82.08
57,20.667116105556488,56.775,82.04
58,20.57277239859104,57.725,81.88
59,21.19539502263069,57.875,82.56
60,20.081160604953766,57.125,82.44
61,20.295488387346268,58.25,83.52
62,18.914428994059563,58.0,83.04
63,19.31068118661642,57.825,84.4
64,19.898943424224854,57.85,83.24
65,18.891506493091583,58.0,82.84
66,19.59346130490303,58.125,84.56
67,18.644153237342834,58.175,84.32
68,18.76133367419243,57.275,83.96
69,19.485814094543457,57.675,84.32
70,19.116157352924347,57.75,84.48
71,18.73911166191101,57.875,85.32
72,18.335066080093384,57.7,84.64
73,19.518119037151337,57.9,85.12
74,18.888560622930527,57.975,84.6
75,18.268603414297104,57.625,84.4
76,18.21562358736992,57.85,84.68
77,18.437929332256317,58.125,84.76
78,19.121159732341766,57.65,84.88
79,17.903145611286163,57.55,84.72
80,17.499430239200592,57.525,84.64
81,18.793791472911835,58.075,84.76
82,17.790379092097282,57.775,84.12
83,17.654814511537552,57.625,85.16
84,17.209368839859962,57.7,84.68
85,17.134345829486847,57.675,84.76
86,17.278548941016197,58.15,84.56
87,17.839126378297806,57.975,84.84
88,17.361994177103043,57.725,84.36
89,17.32015210390091,57.75,85.56
90,17.526385337114334,57.7,85.56
91,17.34613585472107,57.9,85.16
92,17.588667064905167,57.875,85.12
93,17.46754941344261,57.975,84.88
94,17.25530494749546,57.95,85.88
95,17.600492402911186,57.975,85.32
96,17.167134061455727,57.95,85.12
97,17.274802446365356,57.975,85.12
98,17.515527576208115,58.0,85.28
99,17.89215087890625,57.925,84.68
100,17.070575065910816,57.8,85.04
101,17.55929508805275,57.875,84.92
102,17.31458044797182,58.15,85.08
103,16.91195171326399,57.9,86.52
104,16.948218137025833,58.0,84.68
105,17.00869396328926,57.825,85.64
106,17.641973316669464,57.95,84.92
107,17.254840403795242,58.025,85.4
108,17.587213158607483,57.95,85.2
109,17.43423029780388,57.95,85.72
110,17.03984960913658,58.175,85.96
111,17.436206132173538,58.1,85.88
112,17.48851953446865,58.025,86.04
113,17.101215958595276,58.075,84.88
114,17.641719676554203,58.025,85.08
115,17.33433000743389,57.9,85.16
116,17.041676312685013,58.05,84.84
117,16.831785928457975,58.05,86.28
118,17.029422640800476,57.95,85.48
119,17.539484977722168,58.1,85.84
120,17.674945801496506,58.05,85.44
121,17.568691909313202,58.0,85.28
122,19.644091248512268,57.925,85.64
123,17.462451547384262,58.075,85.0
124,18.68010851740837,58.125,84.96
125,17.331861309707165,58.025,85.36
126,17.157857328653336,58.025,85.28
127,17.726430654525757,58.05,85.4
128,17.872951477766037,58.025,85.04
129,16.935208320617676,58.05,85.72
130,17.522081792354584,58.075,85.64
131,16.984476327896118,58.075,84.96
132,16.978910207748413,58.075,85.88
133,16.88856017589569,58.125,85.52
134,18.05588436126709,58.1,85.92
135,16.99795690178871,58.125,84.84
136,17.894226759672165,58.075,85.28
137,16.61973735690117,58.05,85.36
138,17.0565045773983,58.025,84.28
139,17.033152848482132,58.15,84.84
140,16.803308099508286,58.05,86.24
141,16.939402908086777,58.05,84.52
142,16.468667969107628,58.025,85.52
143,17.353823989629745,58.025,85.12
144,16.930713295936584,58.0,85.28
145,16.900095120072365,57.975,86.56
146,17.004618674516678,58.0,86.0
147,17.706793248653412,58.05,85.6
148,17.434507712721825,58.025,85.16
149,17.886882930994034,58.075,85.32
150,17.82094469666481,58.125,84.84
